region,provincia,distrito,codigo_del_recurso,nombre_del_recurso,categoria,tipo_de_categoria,sub_tipo_categoria,url,latitud,longitud,fecha_de_corte
Callao,Callao,Callao,1309,Iglesia Nuestra Señora  De Carmen De La Legua ,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1309,-77.09749,-12.05309,2025-10-13
Callao,Callao,Callao,1310,Plaza Independencia Del Callao,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Plazuelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1310,-77.14765846067213,-12.06152995442827,2025-10-13
Callao,Callao,Callao,1312,Zona Monumental Del Callao,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1312,-77.14706880971791,-12.059361320753462,2025-10-13
Callao,Callao,Callao,1313,Barrio De Chucuito,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Barrios Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1313,-77.15437073743442,-12.064914097814324,2025-10-13
La Libertad,Sanchez Carrion,Huamachuco,1315,Parque Agua De Los Pajaritos,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Parques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1315,-78.04140329360956,-7.821292976682013,2025-10-13
Apurimac,Andahuaylas,Pacucha,1316,Laguna De Pacucha,1. Sitios Naturales,G. Cuerpo De Agua,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1316,-73.337019,-13.606448,2025-10-13
Ancash,Huaylas,Caraz,1327,Nevado Pirámide De Garcilaso,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1327,-77.62061160447354,-8.975825530320352,2025-10-13
Ancash,Huaraz,Independencia,1330,Nevado Vallunaraju,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1330,-77.46089985781968,-9.423786879073363,2025-10-13
Ancash,Huaraz,Independencia,1332,Nevado Ranrapalca,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1332,-77.41666800000002,-9.411047,2025-10-13
Ancash,Carlos Fermin Fitzcarrald,San Nicolas,1333,Tuktu Picante,3. Folclore,Gastronomia,Platos Tipicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1333,-77.1843,-8.9769,2025-10-13
Ancash,Huaraz,Tarica,1334,Nevado Ishinca,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1334,-77.40360277777779,-9.389230555555557,2025-10-13
Ancash,Corongo,Corongo,1335,Danza Los Shajshas De Corongo,3. Folclore,Musicas Y Danzas,Musica Y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1335,-77.8968,-8.56854,2025-10-13
Ancash,Yungay,Yungay,1336,Nevado Pisco,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1336,-77.62986594567302,-8.990801748213924,2025-10-13
Arequipa,Caylloma,Callalli,1337,Castillos Encantados De Callalli,1. Sitios Naturales,O. Otros,Formaciones Rocosas(Bosque De Piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1337,-71.41245162698362,-15.50983869070976,2025-10-13
Arequipa,Arequipa,Cerro Colorado,1338,Volcan Chachani,1. Sitios Naturales,A. Montanas,Volcanes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1338,-71.53069496154791,-16.195058477472756,2025-10-13
Moquegua,General Sanchez Cerro,Ubinas,1339,Volcán Ubinas -Moquegua,1. Sitios Naturales,A. Montanas,Volcanes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1339,-70.90292930603022,-16.354979821893377,2025-10-13
Lima,Lima,Lima,1360,Museo De Arte De Lima - Mali,2. Manifestaciones Culturales,Museos Y Otros,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1360,-77.037001682209,-12.060361623007346,2025-10-13
Lima,Lima,Lima,1362,Museo De Los Combatientes Del Morro De Arica,2. Manifestaciones Culturales,Museos Y Otros,Casas Museo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1362,-77.03260899999998,-12.044414376836777,2025-10-13
Lima,Lima,Lima,1370,Anticuchos,3. Folclore,Gastronomia,Platos Tipicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1370,,,2025-10-13
Lima,Lima,Lima,1374,Casona San Marcos - Centro Cultural De San Marcos,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Casona,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1374,-77.03219018650816,-12.05409738679072,2025-10-13
